"Subjects","SC_left_Aversive","SC_left_Neutral","SC_right_Aversive","SC_right_Neutral","IC_left_Aversive","IC_left_Neutral","IC_right_Aversive","IC_right_Neutral"
"1",178.308233754708,75.8382085180538,196.932413998625,174.860347539071,41.3286656827669,56.7393133501587,98.166779652256,165.296957257558
"2",-45.2331235620976,-96.2232202643241,62.1576683199392,-30.1797750553034,-92.3309898016917,-101.600074126383,87.9818818029306,5.35984077106658
"3",172.179379147511,20.2596418780406,130.425136640976,99.5671875902213,0.781108776293687,30.9854556490993,38.9959729494303,34.2909873709243
"4",-8.16294480874321,278.860734483593,39.6415547623385,265.91958779078,23.6796950076688,-115.833719259905,169.947767202361,-87.0471538532304
"5",124.01158544273,60.446202037754,208.240281598123,76.6443904020234,-118.400594002636,-62.5614236969191,19.5347357382847,-158.112670265078
"6",57.7809742396225,93.5825689286304,159.737827288717,118.225294725779,-15.1860792547613,-306.43164023301,-60.9535235943882,-199.589627614197
"7",145.471067379985,-71.8416710580803,131.190139250148,10.5886443882947,-94.5574028435407,-54.4034340410812,-80.4805651015081,-17.6260928675128
"8",240.096222722847,42.0330014778366,495.680902787568,25.3635907038537,-109.225036530946,48.2272889922427,-215.369873090729,-163.205026707259
"9",202.639004233327,-7.3532953707452,126.909682088349,0.720327380040658,-68.781750234317,-167.017088324934,-98.9111672938449,2.85980197106244
"10",93.3112958194133,-63.7404956838052,226.497449835935,-72.8308892111666,46.9569301630522,-142.454591682814,202.285188404611,-293.736832656229
"11",180.196889590858,14.9924887024842,245.485255956181,74.8827405735688,-64.5166484694846,-54.7082512477221,34.8883415671911,39.9288735511211
